datapoint_idx,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
0,0.0,18.0,2.0,0.0,1680.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,42.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
1,0.0,36.0,0.0,1.0,3990.0,4.0,1.0,3.0,0.0,2.0,2.0,2.0,29.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
5,2.0,12.0,0.0,5.0,409.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,42.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0
9,3.0,15.0,0.0,4.0,1569.0,0.0,3.0,4.0,3.0,2.0,4.0,0.0,34.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0
10,3.0,24.0,3.0,6.0,1258.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,57.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0
14,3.0,15.0,3.0,4.0,4281.0,1.0,3.0,1.0,0.0,2.0,4.0,2.0,35.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
16,0.0,22.0,2.0,6.0,6403.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,33.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
20,2.0,12.0,3.0,5.0,1881.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,44.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0
25,3.0,48.0,1.0,2.0,6110.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,45.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
35,1.0,6.0,3.0,9.0,1352.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,30.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
44,1.0,14.0,3.0,4.0,2511.0,2.0,4.0,1.0,0.0,2.0,4.0,0.0,23.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0
46,0.0,24.0,2.0,3.0,1680.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,29.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0
56,3.0,5.0,3.0,0.0,2186.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,74.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0
59,3.0,36.0,2.0,9.0,8133.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,30.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
73,1.0,12.0,2.0,4.0,1382.0,2.0,0.0,4.0,3.0,2.0,2.0,3.0,43.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0
75,1.0,18.0,0.0,6.0,1381.0,2.0,2.0,3.0,3.0,0.0,4.0,2.0,36.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
77,0.0,24.0,1.0,2.0,5743.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,21.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
80,1.0,18.0,1.0,4.0,5302.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,41.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0
82,3.0,24.0,3.0,4.0,1469.0,0.0,3.0,4.0,3.0,2.0,4.0,3.0,41.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0
91,3.0,12.0,3.0,2.0,640.0,2.0,0.0,4.0,1.0,2.0,2.0,3.0,49.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0
95,1.0,12.0,0.0,8.0,1382.0,2.0,3.0,4.0,2.0,2.0,1.0,0.0,45.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0
113,0.0,14.0,3.0,7.0,3872.0,2.0,4.0,2.0,0.0,2.0,4.0,0.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,0.0,11.0,3.0,4.0,7472.0,4.0,4.0,1.0,0.0,2.0,2.0,3.0,24.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0
125,0.0,24.0,3.0,6.0,3758.0,1.0,4.0,1.0,0.0,2.0,4.0,2.0,21.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0
126,2.0,24.0,2.0,6.0,5152.0,2.0,1.0,4.0,3.0,2.0,2.0,0.0,25.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
133,3.0,18.0,3.0,6.0,1126.0,4.0,2.0,4.0,0.0,2.0,2.0,3.0,24.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
135,0.0,11.0,3.0,4.0,1007.0,3.0,0.0,4.0,2.0,2.0,1.0,3.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
140,0.0,11.0,1.0,3.0,3617.0,2.0,3.0,1.0,3.0,2.0,4.0,0.0,28.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0
142,3.0,15.0,1.0,9.0,3368.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,24.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
146,1.0,15.0,1.0,3.0,1381.0,2.0,0.0,4.0,0.0,2.0,3.0,1.0,25.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0
151,0.0,30.0,2.0,4.0,2862.0,0.0,3.0,4.0,3.0,2.0,3.0,2.0,30.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
159,1.0,12.0,3.0,3.0,1382.0,2.0,3.0,4.0,0.0,2.0,4.0,1.0,24.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0
160,0.0,36.0,3.0,6.0,4795.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0,30.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
177,0.0,22.0,2.0,0.0,6967.0,0.0,1.0,4.0,3.0,2.0,4.0,0.0,36.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0
186,0.0,11.0,3.0,4.0,1201.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
192,3.0,10.0,3.0,4.0,1287.0,4.0,3.0,4.0,3.0,0.0,2.0,2.0,45.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0
196,0.0,20.0,2.0,5.0,2629.0,2.0,0.0,2.0,3.0,2.0,3.0,0.0,30.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0
