datapoint_idx,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,0.0,36.0,0.0,1.0,3949.0,4.0,2.0,3.0,0.0,2.0,2.0,2.0,29.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
2,0.0,45.0,4.0,0.0,12204.0,4.0,0.0,2.0,3.0,2.0,2.0,0.0,48.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
25,3.0,48.0,1.0,2.0,6110.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,31.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
46,0.0,24.0,2.0,3.0,2528.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,29.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0
77,0.0,24.0,1.0,2.0,5743.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,22.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
78,1.0,12.0,1.0,4.0,2288.0,2.0,0.0,4.0,3.0,2.0,2.0,1.0,30.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
84,1.0,12.0,1.0,4.0,2122.0,2.0,0.0,4.0,3.0,2.0,4.0,1.0,38.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0
86,1.0,36.0,3.0,8.0,15857.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,43.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
108,2.0,30.0,3.0,6.0,5848.0,2.0,0.0,4.0,3.0,2.0,1.0,0.0,24.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
121,3.0,30.0,2.0,0.0,2764.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,26.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
135,0.0,11.0,3.0,4.0,1007.0,3.0,0.0,4.0,2.0,2.0,1.0,3.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
140,0.0,11.0,1.0,3.0,3617.0,2.0,3.0,1.0,3.0,2.0,4.0,0.0,28.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0
151,0.0,36.0,2.0,4.0,2862.0,0.0,3.0,4.0,3.0,2.0,3.0,2.0,29.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
159,2.0,12.0,3.0,3.0,652.0,2.0,3.0,4.0,0.0,2.0,4.0,1.0,24.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0
160,0.0,36.0,3.0,6.0,3595.0,2.0,2.0,4.0,0.0,2.0,1.0,2.0,30.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
163,1.0,15.0,3.0,4.0,1750.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,36.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
186,0.0,24.0,3.0,4.0,3485.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
