feature,mean_weight,std_weight,min_weight,max_weight,mean_abs_weight
checking_status,0.018456,0.015757,-0.004014,0.052919,0.018928
duration,-0.014804,0.012897,-0.042868,0.004044,0.01528
age,0.014442,0.012726,-0.000342,0.037463,0.014483
installment_commitment,-0.006155,0.01589,-0.032784,0.014214,0.013319
credit_history,-0.007044,0.015732,-0.035469,0.009469,0.011764
residence_since,0.0055,0.014432,-0.029384,0.025632,0.011417
purpose,0.01056,0.010509,-0.002319,0.033834,0.010832
personal_status,0.003064,0.014299,-0.014444,0.03633,0.010522
credit_amount,0.000999,0.012275,-0.026522,0.017709,0.009139
existing_credits,0.003088,0.010506,-0.016618,0.020773,0.008492
employment,-0.001991,0.010942,-0.028368,0.019702,0.00787
own_telephone,0.001894,0.010531,-0.015658,0.024954,0.007818
housing,-0.001736,0.013963,-0.04773,0.01413,0.00774
savings_status,0.006404,0.008533,-0.004856,0.021711,0.007592
property_magnitude,0.00139,0.011144,-0.012614,0.034376,0.007447
job,0.004685,0.006971,-0.00655,0.018165,0.006075
other_payment_plans,0.003049,0.005798,-0.00508,0.014295,0.004532
foreign_worker,0.000101,0.00609,-0.009298,0.015866,0.003976
other_parties,-0.003418,0.005042,-0.018754,0.002996,0.003881
num_dependents,0.00238,0.004498,-0.010131,0.01038,0.003572
