instance_idx,feature,feature_value,lime_weight,abs_weight
0,checking_status,0.0,0.08891041331480037,0.08891041331480037
0,duration,18.0,-0.019361545519922696,0.019361545519922696
0,credit_history,2.0,0.02261741742969247,0.02261741742969247
0,purpose,0.0,0.0610337046977,0.0610337046977
0,credit_amount,2427.0,0.039020796014837086,0.039020796014837086
0,savings_status,4.0,-0.03674378755845905,0.03674378755845905
0,employment,3.0,-0.08729482803587485,0.08729482803587485
0,installment_commitment,4.0,-0.051012917081530613,0.051012917081530613
0,personal_status,3.0,-0.05017264531232396,0.05017264531232396
0,other_parties,2.0,-0.017057505690167774,0.017057505690167774
0,residence_since,2.0,0.04584139250895813,0.04584139250895813
0,property_magnitude,1.0,0.008473041197099776,0.008473041197099776
0,age,42.0,-0.018243347811265898,0.018243347811265898
0,other_payment_plans,1.0,-0.003877038773831471,0.003877038773831471
0,housing,1.0,-0.011468346663076187,0.011468346663076187
0,existing_credits,2.0,-0.03230527607373646,0.03230527607373646
0,job,1.0,0.0298329317974226,0.0298329317974226
0,num_dependents,1.0,0.0026666458062720457,0.0026666458062720457
0,own_telephone,0.0,0.049730763647201366,0.049730763647201366
0,foreign_worker,1.0,-0.04385355318086197,0.04385355318086197
1,checking_status,0.0,0.02218863410759266,0.02218863410759266
1,duration,36.0,-0.028344881512611508,0.028344881512611508
1,credit_history,0.0,0.035609582233829276,0.035609582233829276
1,purpose,1.0,0.02855411710805734,0.02855411710805734
1,credit_amount,3990.0,-0.003970275958676992,0.003970275958676992
1,savings_status,4.0,-0.024170359939291234,0.024170359939291234
1,employment,2.0,-0.010749036260278644,0.010749036260278644
1,installment_commitment,3.0,-0.0033387174274609344,0.0033387174274609344
1,personal_status,0.0,0.024899052935387155,0.024899052935387155
1,other_parties,2.0,-0.008149824941846708,0.008149824941846708
1,residence_since,2.0,0.019322760865321736,0.019322760865321736
1,property_magnitude,2.0,-0.01954172471533941,0.01954172471533941
1,age,29.0,0.013650282056764954,0.013650282056764954
1,other_payment_plans,0.0,0.04006518852885907,0.04006518852885907
1,housing,1.0,-0.005624223941019332,0.005624223941019332
1,existing_credits,1.0,0.010812777616013685,0.010812777616013685
1,job,2.0,-0.013937529574483914,0.013937529574483914
1,num_dependents,1.0,0.00808703066843454,0.00808703066843454
1,own_telephone,0.0,0.023718195416834405,0.023718195416834405
1,foreign_worker,1.0,-0.0026654284144826857,0.0026654284144826857
5,checking_status,2.0,-0.004401922575570836,0.004401922575570836
5,duration,12.0,0.021619664711945194,0.021619664711945194
5,credit_history,0.0,0.0667880020044636,0.0667880020044636
5,purpose,6.0,-0.006601499236957671,0.006601499236957671
5,credit_amount,409.0,0.046372433113466886,0.046372433113466886
5,savings_status,3.0,-0.034617022896040885,0.034617022896040885
5,employment,0.0,0.03067923449655913,0.03067923449655913
5,installment_commitment,3.0,-0.03166177859161267,0.03166177859161267
5,personal_status,0.0,0.026285498957002756,0.026285498957002756
5,other_parties,2.0,-0.005568901795850246,0.005568901795850246
5,residence_since,3.0,-0.003021979626142282,0.003021979626142282
5,property_magnitude,3.0,-0.042998579434575725,0.042998579434575725
5,age,42.0,-0.036942770856041036,0.036942770856041036
5,other_payment_plans,1.0,-0.004855309048541686,0.004855309048541686
5,housing,2.0,-0.04407461914399035,0.04407461914399035
5,existing_credits,2.0,-0.031550158553756695,0.031550158553756695
5,job,1.0,0.00909016920917797,0.00909016920917797
5,num_dependents,1.0,0.0392200547102648,0.0392200547102648
5,own_telephone,0.0,0.0268323881488891,0.0268323881488891
5,foreign_worker,1.0,-0.005447110175855012,0.005447110175855012
9,checking_status,3.0,-0.017208188369143947,0.017208188369143947
9,duration,15.0,0.004771815362308957,0.004771815362308957
9,credit_history,0.0,0.02439102798980805,0.02439102798980805
9,purpose,6.0,-0.011320002107463544,0.011320002107463544
9,credit_amount,1569.0,0.00844891262973887,0.00844891262973887
9,savings_status,0.0,0.020986389312103716,0.020986389312103716
9,employment,3.0,-0.00943678158745373,0.00943678158745373
9,installment_commitment,4.0,-0.015466652581390263,0.015466652581390263
9,personal_status,3.0,-0.013469797604816203,0.013469797604816203
9,other_parties,2.0,-0.009415103695422491,0.009415103695422491
9,residence_since,4.0,-0.014196874070695717,0.014196874070695717
9,property_magnitude,0.0,0.014039395511926428,0.014039395511926428
9,age,34.0,0.00631940581385929,0.00631940581385929
9,other_payment_plans,0.0,0.02527101665733469,0.02527101665733469
9,housing,1.0,0.0036852639162307348,0.0036852639162307348
9,existing_credits,1.0,0.012169043810196206,0.012169043810196206
9,job,3.0,-0.026790086069311148,0.026790086069311148
9,num_dependents,2.0,-0.02936929423339514,0.02936929423339514
9,own_telephone,0.0,0.012879127754696561,0.012879127754696561
9,foreign_worker,1.0,-0.0008484412564813684,0.0008484412564813684
10,checking_status,2.0,-0.0012284313072593613,0.0012284313072593613
10,duration,24.0,-0.03758600572313349,0.03758600572313349
10,credit_history,3.0,-0.06338323227649634,0.06338323227649634
10,purpose,6.0,-0.004718738285964094,0.004718738285964094
10,credit_amount,1258.0,0.00457366667847761,0.00457366667847761
10,savings_status,1.0,0.03496742815291064,0.03496742815291064
10,employment,0.0,0.04905532188119562,0.04905532188119562
10,installment_commitment,3.0,0.029505532926359525,0.029505532926359525
10,personal_status,0.0,0.038212854503488,0.038212854503488
10,other_parties,2.0,-0.02226502124810787,0.02226502124810787
10,residence_since,3.0,-0.01796207529976424,0.01796207529976424
10,property_magnitude,0.0,0.05065783049798458,0.05065783049798458
10,age,57.0,-0.05501880619606022,0.05501880619606022
10,other_payment_plans,1.0,-0.04523465308142953,0.04523465308142953
10,housing,1.0,-0.03365237792551376,0.03365237792551376
10,existing_credits,1.0,0.04166969427414823,0.04166969427414823
10,job,3.0,-0.042512036772467766,0.042512036772467766
10,num_dependents,1.0,0.03673389181181136,0.03673389181181136
10,own_telephone,0.0,0.07703925873348774,0.07703925873348774
10,foreign_worker,1.0,-0.009298677781648852,0.009298677781648852
14,checking_status,3.0,-0.027623999884869372,0.027623999884869372
14,duration,15.0,0.008881611579406867,0.008881611579406867
14,credit_history,3.0,-0.033036940220788805,0.033036940220788805
14,purpose,4.0,-0.018858642850894152,0.018858642850894152
14,credit_amount,5324.0,-0.040925093579697445,0.040925093579697445
14,savings_status,1.0,0.04809793294697642,0.04809793294697642
14,employment,3.0,-0.024028887395227915,0.024028887395227915
14,installment_commitment,1.0,0.04421498608778398,0.04421498608778398
14,personal_status,0.0,0.022794946919483024,0.022794946919483024
14,other_parties,2.0,0.002919397813965796,0.002919397813965796
14,residence_since,4.0,-0.03900902782161544,0.03900902782161544
14,property_magnitude,2.0,-0.016117696656683358,0.016117696656683358
14,age,35.0,0.00915697119002804,0.00915697119002804
14,other_payment_plans,1.0,-0.013075822035517416,0.013075822035517416
14,housing,0.0,0.07760239615440755,0.07760239615440755
14,existing_credits,1.0,0.008416664922176123,0.008416664922176123
14,job,1.0,-0.02232147863138008,0.02232147863138008
14,num_dependents,1.0,0.03132757668057364,0.03132757668057364
14,own_telephone,0.0,0.04888300888137191,0.04888300888137191
14,foreign_worker,1.0,0.001753775486337524,0.001753775486337524
16,checking_status,0.0,0.09585957185675201,0.09585957185675201
16,duration,24.0,-0.049535820175784166,0.049535820175784166
16,credit_history,2.0,-0.008548423671953116,0.008548423671953116
16,purpose,6.0,-0.020892516493530237,0.020892516493530237
16,credit_amount,6403.0,-0.0920879930918811,0.0920879930918811
16,savings_status,2.0,0.016957479408701598,0.016957479408701598
16,employment,2.0,-0.04979966199405667,0.04979966199405667
16,installment_commitment,1.0,0.08135317992933093,0.08135317992933093
16,personal_status,3.0,-0.03319292168372822,0.03319292168372822
16,other_parties,2.0,0.016623905829225204,0.016623905829225204
16,residence_since,2.0,0.024986179258315987,0.024986179258315987
16,property_magnitude,0.0,0.06518433414092414,0.06518433414092414
16,age,33.0,0.06573140010510685,0.06573140010510685
16,other_payment_plans,1.0,-0.016359381366958654,0.016359381366958654
16,housing,1.0,0.010551760127986459,0.010551760127986459
16,existing_credits,1.0,0.03465021100361963,0.03465021100361963
16,job,1.0,-0.00037357853754083417,0.00037357853754083417
16,num_dependents,1.0,0.001353682302957859,0.001353682302957859
16,own_telephone,0.0,0.04783159800097246,0.04783159800097246
16,foreign_worker,1.0,0.0057414151943382995,0.0057414151943382995
20,checking_status,2.0,-0.024625990030278145,0.024625990030278145
20,duration,12.0,0.005973803145376483,0.005973803145376483
20,credit_history,3.0,-0.05594901204238282,0.05594901204238282
20,purpose,6.0,-0.01811907035126198,0.01811907035126198
20,credit_amount,1881.0,-0.0017930275151631775,0.0017930275151631775
20,savings_status,2.0,-0.006976888009832533,0.006976888009832533
20,employment,0.0,0.03788727289181465,0.03788727289181465
20,installment_commitment,2.0,0.03471545039895847,0.03471545039895847
20,personal_status,0.0,0.06713786864765407,0.06713786864765407
20,other_parties,2.0,-0.014830478085350455,0.014830478085350455
