instance_idx,feature,feature_value,lime_weight,abs_weight
1,checking_status,0.0,0.008794668645841695,0.008794668645841695
1,duration,36.0,-0.007498796207112557,0.007498796207112557
1,credit_history,0.0,0.008643839060950514,0.008643839060950514
1,purpose,1.0,0.00683390977762943,0.00683390977762943
1,credit_amount,3990.0,-0.0023744240987190576,0.0023744240987190576
1,savings_status,4.0,-0.0048558448459901865,0.0048558448459901865
1,employment,2.0,-0.0037194030760433587,0.0037194030760433587
1,installment_commitment,3.0,-0.0035185439140878755,0.0035185439140878755
1,personal_status,0.0,0.007067842391248958,0.007067842391248958
1,other_parties,2.0,-0.0029641014328894953,0.0029641014328894953
1,residence_since,2.0,0.0048672751397952655,0.0048672751397952655
1,property_magnitude,2.0,-0.002170501901907244,0.002170501901907244
1,age,29.0,0.004829338207482327,0.004829338207482327
1,other_payment_plans,0.0,0.01048279967606377,0.01048279967606377
1,housing,1.0,0.0015300613817787348,0.0015300613817787348
1,existing_credits,1.0,0.0035481589207599262,0.0035481589207599262
1,job,2.0,-0.00516523850657908,0.00516523850657908
1,num_dependents,1.0,0.0013948817210177925,0.0013948817210177925
1,own_telephone,0.0,0.0032353733170872984,0.0032353733170872984
1,foreign_worker,1.0,-0.0002973191592280975,0.0002973191592280975
2,checking_status,0.0,0.000463067488139008,0.000463067488139008
2,duration,48.0,-0.0002546799575005296,0.0002546799575005296
2,credit_history,4.0,-0.00010289976456689828,0.00010289976456689828
2,purpose,0.0,0.000366240518668613,0.000366240518668613
2,credit_amount,12204.0,-0.00036265894815187865,0.00036265894815187865
2,savings_status,4.0,-5.909142534703452e-05,5.909142534703452e-05
2,employment,0.0,-0.00030541249936587766,0.00030541249936587766
2,installment_commitment,2.0,-5.318990748625895e-06,5.318990748625895e-06
2,personal_status,3.0,-0.00027489604481776544,0.00027489604481776544
2,other_parties,2.0,-6.346157112177737e-05,6.346157112177737e-05
2,residence_since,2.0,3.0239337846802203e-05,3.0239337846802203e-05
2,property_magnitude,0.0,-2.8870546577914168e-05,2.8870546577914168e-05
2,age,48.0,-0.0003417459388300143,0.0003417459388300143
2,other_payment_plans,0.0,0.000553876015850858,0.000553876015850858
2,housing,1.0,-0.00010678247127412652,0.00010678247127412652
2,existing_credits,1.0,1.5265125130358464e-05,1.5265125130358464e-05
2,job,0.0,0.0002470068227406716,0.0002470068227406716
2,num_dependents,1.0,0.00045490732935670895,0.00045490732935670895
2,own_telephone,1.0,-0.0001673545422332232,0.0001673545422332232
2,foreign_worker,1.0,-0.00023997439955761427,0.00023997439955761427
25,checking_status,3.0,-0.004013997478720047,0.004013997478720047
25,duration,48.0,-0.014146130515394454,0.014146130515394454
25,credit_history,1.0,0.009043036755316659,0.009043036755316659
25,purpose,2.0,0.010036310405342596,0.010036310405342596
25,credit_amount,6110.0,-0.009183273471753432,0.009183273471753432
25,savings_status,2.0,0.003961572014447485,0.003961572014447485
25,employment,0.0,0.008689992113528158,0.008689992113528158
25,installment_commitment,1.0,0.013552834836214533,0.013552834836214533
25,personal_status,3.0,-0.006452742326810096,0.006452742326810096
25,other_parties,2.0,-0.0017071946424132498,0.0017071946424132498
25,residence_since,3.0,-0.0036681878201430275,0.0036681878201430275
25,property_magnitude,2.0,-0.006624977659935338,0.006624977659935338
25,age,31.0,0.005120986914901688,0.005120986914901688
25,other_payment_plans,0.0,0.014295035412748347,0.014295035412748347
25,housing,0.0,0.014130456172399164,0.014130456172399164
25,existing_credits,1.0,0.0068533521714839105,0.0068533521714839105
25,job,1.0,0.0043363252595143105,0.0043363252595143105
25,num_dependents,1.0,0.003627465916622239,0.003627465916622239
25,own_telephone,1.0,-0.009579007538581761,0.009579007538581761
25,foreign_worker,1.0,-0.0008109556776440863,0.0008109556776440863
46,checking_status,0.0,0.012987168274108478,0.012987168274108478
46,duration,24.0,-0.013866924371804994,0.013866924371804994
46,credit_history,2.0,-0.0016543978126236176,0.0016543978126236176
46,purpose,3.0,0.007354254027703425,0.007354254027703425
46,credit_amount,2333.0,0.0035219689237671985,0.0035219689237671985
46,savings_status,4.0,-0.004313516613965569,0.004313516613965569
46,employment,2.0,-0.007062033284704412,0.007062033284704412
46,installment_commitment,4.0,-0.012411580684264118,0.012411580684264118
46,personal_status,3.0,0.00012498763866364285,0.00012498763866364285
46,other_parties,2.0,-0.005302419417995938,0.005302419417995938
46,residence_since,2.0,0.004836886424860296,0.004836886424860296
46,property_magnitude,1.0,0.0029700002735585616,0.0029700002735585616
46,age,29.0,0.0058141411446145045,0.0058141411446145045
46,other_payment_plans,0.0,0.011324950461851979,0.011324950461851979
46,housing,1.0,-0.0010631935814977578,0.0010631935814977578
46,existing_credits,1.0,0.006447822786074549,0.006447822786074549
46,job,3.0,-0.006550406378781388,0.006550406378781388
46,num_dependents,1.0,0.0026906128163430507,0.0026906128163430507
46,own_telephone,0.0,0.005049913576696063,0.005049913576696063
46,foreign_worker,1.0,-0.000362737121193227,0.000362737121193227
77,checking_status,0.0,0.018378210658536436,0.018378210658536436
77,duration,24.0,-0.011912836969041536,0.011912836969041536
77,credit_history,1.0,0.006924605677337121,0.006924605677337121
77,purpose,2.0,0.008655595991735399,0.008655595991735399
77,credit_amount,5743.0,-0.013094281639070912,0.013094281639070912
77,savings_status,2.0,-0.0008620976201305525,0.0008620976201305525
77,employment,2.0,-0.005498084358259089,0.005498084358259089
77,installment_commitment,2.0,0.010393384871987066,0.010393384871987066
77,personal_status,0.0,0.019332274270771672,0.019332274270771672
77,other_parties,2.0,-0.0023591752616991825,0.0023591752616991825
77,residence_since,4.0,-0.007198954452044399,0.007198954452044399
77,property_magnitude,2.0,0.0005593849776443769,0.0005593849776443769
77,age,24.0,0.013479811745413331,0.013479811745413331
77,other_payment_plans,1.0,-0.0018287806638806476,0.0018287806638806476
77,housing,0.0,0.011932769389992944,0.011932769389992944
